,Datetime,Text
0,2020-07-28 18:50:29+00:00,To assume the protests got him arrested would be far fetched. Every media outlet including conservative ones agreed he belonged in jail. Matter of time
1,2020-07-28 18:37:46+00:00,To say you’re rioting for justice for all seems redundant. This isn’t a country where you throw people in jail because they’re trending on twitter
2,2020-07-28 17:52:13+00:00,His killer is in jail what the fuck is she screaming about ?
3,2020-07-28 16:19:25+00:00,#TrumpGlobalCrimeFamily boss has to steal the election or go straight to jail. This ain't Monopoly.
4,2020-07-28 04:54:35+00:00,You gonna go to jail in January.
5,2020-07-27 23:06:11+00:00,I’m in FaceBook jail for the following post... 
6,2020-07-27 18:26:19+00:00,"@me next time??? Shane met my dad before he met me me cause dad works at the jail he was at ahh, small world. "
7,2020-07-27 16:11:27+00:00,Sounds like the few nights I've spent in the Spokane jail.
8,2020-07-27 04:06:49+00:00,"It's not ok to shoot teargas,rubber bullets& beat unarmed protesters,nor to handcuff,&jail them,w/out being mirandized,&amp;told why being arrested.People sat in jail for days,never charged,then released.If someones commits crimes,should be arrested.Protesting is legal.Assault is not"
9,2020-07-26 22:57:23+00:00,"Idaho's the right to jail state, come on vacation leave on probation, state motto. So Washington must be the prison State, governor Jay Ensley has taken away the people's rights and keeps pushing to remove more of the people's freedom. BACKGROUND CHECKS TO PURCHASE AMMO WTF Jay. "
10,2020-07-26 22:50:04+00:00,I'll fill out the census when Trump is in jail
11,2020-07-26 21:55:11+00:00,Sen. Graham: 'Somebody needs to go to jail' after FBI lied about Steele ... https://youtu.be/_gwW2g08Upc via @YouTube
12,2020-07-26 21:50:33+00:00,Sen. Graham: 'Somebody needs to go to jail' after FBI lied about Steele ... https://youtu.be/_gwW2g08Upc via @YouTube @CNN @MSNBC @maddow
13,2020-07-26 04:19:44+00:00,"Seriously though, I'm sure he'll be in director jail for the rest of his life but Tom Hooper's use of on set singing should absolutely become standard for musicals. Even amongst all the nonsense, Memory is a genuinely emotional performance."
14,2020-07-26 04:19:33+00:00,"@Jon_wayne88, where ya at, man? I make a Vegeta joke and not even a 'lol'? You in twitter jail?"
15,2020-07-26 03:27:03+00:00,Lynching threat and racist rant at black employee lands Oklahoma man in jail https://www.rawstory.com/2020/07/oklahoma-man-arrested-for-lynching-threat-and-racist-rant-aimed/ #SmartNews
16,2020-07-26 01:46:25+00:00,Or someone might make sure he hangs himself in jail.
17,2020-07-25 14:43:22+00:00,Jail for u
18,2020-07-25 00:30:29+00:00,"They’re protecting federal property. That’s their job. They protect dams & nuclear sites & 9,000 other federal facilities nationwide. Telling ppl to intentionally hurt them is telling ppl you want them to go to jail for a long time. Why do that?"
19,2020-07-24 21:19:53+00:00,"I like the fact that they are basically ""Efff Everybody who isn't us."" @tedwheeler don't worry, even though they hate you, they'll still vote for you. Anyway somebody call CPS as this isn't just bad parenting, it's child exploitation. These moms should be back in jail. #MAGA2020"
20,2020-07-24 21:01:46+00:00,Send him to jail!
21,2020-07-24 17:38:03+00:00,"Wolfinger said KCSO will take a measured response to enforcement, with a strong focus on warnings. Those found out of compliance can, under Idaho code, be charged with a misdemeanor, with the possibility of a $1000 fine and/or up to 6 months in jail. "
22,2020-07-24 15:12:42+00:00,"Ya, it didnt help that some of those "" electorial"" voters for the states they represented didn't vote in line with the people of their state. Always makes me think they were bribed."
23,2020-07-24 13:39:01+00:00,@GovInslee @JayInslee @MayorJenny Together you incompetent leaders need to condemn this police force with Jail time and extremely hard stick like Philadelphias leadership did. Do the right thing make an announcement. Btw the president and vp are lying... 
24,2020-07-24 06:49:06+00:00,"People didn’t just voluntarily become better drivers or follow driving guidelines. People had a financial incentive to become better drivers (fewer traffic tickets, afraid of jail time, lower insurance premiums, required drivers ed). 12/"
25,2020-07-24 00:45:00+00:00,"A Spokane Valley business that focuses on repairing sewing machines for a generally older clientele is refusing to follow Gov. Jay Inslee’s mask mandate, and the owner said he’s ready to go to jail in the name of freedom. "
26,2020-07-24 00:41:17+00:00,Kids are so soft these days that they would consider old school playgrounds jail yards
27,2020-07-23 23:25:56+00:00,Same here. I did a year in jail in my 20s. Woke my ass up toot-sweet. Everyone needs a galvanizing moment like that to shock them into the real world. Maybe not a whole damn year but some kick in the ass. I have no doubt you got one at some point. We always know our own.
28,2020-07-23 21:29:55+00:00,"He was ""Mr. Big Balls,"" Trump's personal lawyer. I'll bet that was worth some pussy. I'm sorry, but I believe what my Dad told me. ""People are not worth the powder it takes to blow them to Hell."" Shameless opportunists. Until they're facing jail. Then they sing like canaries."
